	Variable de la estacion MagyaCba La Cumbrecita 
 
Temp	Hume	Pto.Ro	Precipt	Vel.Vie	Raf.Vie	  Pres	Rad.Sol	Temp_S1	Temp_S2	Temp_S3	Hum_S1	Hum_S2	Hum_S3	Hum_Hoja
18.20 	 72.30 	 13.10	 0.00	 3.60	 13.10	 860.60	 0.00	 22.80	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
18.40 	 72.80 	 13.40	 0.00	 3.60	 6.20	 860.60	 0.00	 22.70	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
18.40 	 74.80 	 13.80	 0.20	 0.10	 2.50	 860.60	 0.00	 22.70	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
18.10 	 75.90 	 13.80	 0.20	 2.20	 9.00	 859.40	 0.00	 22.70	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
17.40 	 73.20 	 12.60	 0.60	 8.30	 8.30	 858.80	 0.00	 22.70	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
17.20 	 69.60 	 11.60	 0.20	 13.90	 37.70	 860.00	 0.00	 22.60	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
17.40 	 62.20 	 10.10	 0.40	 6.10	 22.10	 860.60	 0.00	 22.60	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
17.50 	 68.60 	 11.70	 0.20	 7.20	 20.50	 860.00	 0.00	 22.60	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
17.00 	 72.00 	 11.90	 0.00	 2.20	 15.30	 858.80	 0.00	 22.60	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
16.90 	 68.90 	 11.20	 0.20	 3.50	 21.30	 859.40	 0.00	 22.50	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
17.20 	 63.00 	 10.10	 0.00	 7.20	 21.70	 858.10	 0.00	 22.50	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
17.50 	 62.40 	 10.20	 0.00	 10.50	 20.30	 856.90	 0.00	 22.50	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
18.10 	 55.00 	 8.90	 0.00	 6.70	 18.80	 857.50	 0.00	 22.50	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
17.90 	 67.60 	 11.80	 0.00	 3.10	 3.50	 858.10	 0.00	 22.40	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
17.50 	 70.20 	 12.00	 0.00	 3.40	 14.80	 857.50	 0.00	 22.40	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
17.30 	 72.20 	 12.20	 0.00	 4.00	 6.50	 856.20	 0.00	 22.40	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
